"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE721A07RL1","974804","875SFL28","SFL87528428PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE339F01021","507645","POLSON","POLSON LTD","13735.8","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE721A07RM9","974805","855SFL28","SLF85528428PVT","5000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE208U01019","540416","OCTAWARE","OCTAWARE TECHNOLOGIES LIMITED","49.8","",,"0.01","1600","EQUITY",,"BSE_EQ"
"BSE_EQ|INE027E07AM9","936576","852LTFH27","LTFH85215427NCD","1000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE860H07IK3","974806","801ABF28","ABFL8012528PVT","103445.4","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA10A7","543361","SFMP51GD","SBI MUTUAL FUND","10.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE274V01019","540425","SHANKARA","SHANKARA BUILDING PRODUCTS LIM","719.55","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE818F07237","974807","863KFC30","KFL86329330PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE031A07AL1","935636","702HUDCO26","HUDCO7028226TAXFREENCD","1830.8","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|IN2220230147","810969","770MHSDL34","770MHSDL34","100.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE818F07245","974810","863KFL32","KFL86331332PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE818F07229","974811","863KFL29","KFL86330329PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE953W01016","540455","ESCORP","ESCORP ASSET MANAGEMENT LIMITE","76.5","",,"0.01","3325","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0NXA01015","543921","COMRADE","COMRADE APPLIANCES LIMITED","124.25","",,"0.05","1000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE247F01018","507690","ORIBEVER","ORIENT BEVERAGES LTD","365.35","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE808R01012","540467","PARMSILK","PARMESHWARI SILK MILLS LIMITED","10.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE870V01014","540468","KMSMEDI","KMS MEDISURGI LIMITED","121.91","",,"0.05","2000","EQUITY",,"BSE_EQ"
"BSE_EQ|IN1920230092","810974","769KARSDL33","769KARSDL33","90.1","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE08Z607059","974815","955VFIPL26","VFIPL955020526PVT","100182.65","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE949C01016","540481","CLFL","CLASSIC LEASING  FINANCE LTD","17.86","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE594W01034","540492","STARLENT","STARLINEPS ENTERPRISES LIMITED","110.9","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE721A07RN7","974818","875SF26","SFL8754526PVT","106651.58","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE807K01035","540497","SCHAND","S CHAND AND COMPANY LIMITED","275.35","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE101Q07409","936590","MMFLZC24","MMFLZC24424NCD","1610.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE419U08025","974820","HMTTBIL26A","HMTLTBILLSPREAD8526PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE453S01015","540515","KANUNGO","KANUNGO FINANCIERS LIMITED","4.93","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE343X01018","540519","MEERA","MEERA INDUSTRIES LIMITED","52.74","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0AY207020","974823","1003RSGP24","RSGPL1003081124PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE183W23014","540526","IRBINVIT","IRB INVIT FUND","68.01","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE031A01017","540530","HUDCO","HOUSING URBAN DEVELOPMENT COR","200.2","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF200KA16A4","543379","SFMP53GR","SBI MUTUAL FUND","10.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE261F08AY4","958553","829NABAR29","NABARD82924129PVT","1000000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE965R07272","974825","960GDPL24A","GDPL96024924PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE965R07256","974826","960GDPP24B","GDPL960241224PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE488V01015","540544","PSPPROJECT","PSP PROJECTS LIMITED","676.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE986W01016","540545","BGJL","BHAKTI GEMS AND JEWELLERY LIMI","18.35","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE796W01019","540550","YUG","YUG DECOR LIMITED","54.45","",,"0.01","2300","EQUITY",,"BSE_EQ"
"BSE_EQ|INE123C01018","507785","TAINWALCHM","TAINWALA CHEMICALS  PLASTICS","133.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE031A07AN7","935640","727HUDCO26","HUDCO7278226TAXFREENCD","1030.05","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE745B01028","507794","KHAICHEM","KHAITAN CHEMICALS  FERTILIZER","81.96","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE219X23014","540565","INDIGRID","INDIA GRID TRUST","132.96","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0H7R23014","543385","NHIT","NATIONAL HIGHWAYS INFRA TRUST","118.5","",,"0.01","200000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE717F01028","540570","VARIMAN","VARIMAN GLOBAL ENTERPRISES LIM","31.25","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE965R07280","974831","960GDPL26","GDPL96024326PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE460H01021","540575","STARCEMENT","STAR CEMENT LIMITED","210.0","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE357P01014","507808","UNTTEMI","UNITED LEASING  INDUSTRIES LT","27.7","",,"0.01","50","EQUITY",,"BSE_EQ"
"BSE_EQ|INE296D01010","507813","NOL","NATIONAL OXYGEN LTD","119.2","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|IN2220230253","810994","743MAHSDL35","743MAHSDL35","100.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE325X01015","540590","RIDDHICORP","RIDDHI CORPORATE SERVICES LIMI","124.5","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE010J01012","540595","TEJASNET","TEJAS NETWORKS LIMITED","742.75","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE406M01024","540596","ERIS","ERIS LIFESCIENCES LIMITED","888.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE869I01013","540602","GTPL","GTPL HATHWAY LIMITED","189.25","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE435D01014","507836","MCCHRLS-B","MAC CHARLES INDIA LTD","462.5","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE949L01017","540611","AUBANK","AU SMALL FINANCE BANK LIMITED","571.95","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF109KC19U5","540612","LOWVOLIETF","ICICI PRUDENTIAL NIFTY LOW VOL","19.71","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE721X01015","540613","GEL","GAUTAM EXIM LIMITED","66.5","",,"0.01","1500","EQUITY",,"BSE_EQ"
"BSE_EQ|INE694X01030","540614","GGENG","G G ENGINEERING LIMITED","2.02","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE413X01035","540615","7NR","7NR RETAIL LIMITED","5.75","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE031A07AO5","935642","764HUDCO31","HUDCO7648231TAXFREENCD","1121.25","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE757C01021","507852","ADDIND","ADDI INDUSTRIES LTD","58.02","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE170V01027","540642","SALASAR","SALASAR TECHNO ENGINEERING LIM","23.32","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE335W01016","540647","GANGESSECU","GANGES SECURITIES LTD","137.1","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE471W01019","540648","PALASHSECU","PALASH SECURITIES LIMITED","129.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE349W01017","540649","AVADHSUGAR","AVADH SUGAR  ENERGY LIMITED","623.3","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE347W01011","540650","MAGADSUGAR","MAGADH SUGAR  ENERGY LIMITED","617.75","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE943X01015","540651","JIGAR","JIGAR CABLES LIMITED","73.25","",,"0.01","4000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE931X01010","540652","CTCL","CAPTAIN TECHNOCAST LIMITED","162.0","",,"0.05","1500","EQUITY",,"BSE_EQ"
"BSE_EQ|INE501W01021","540653","SPTL","SINTEX PLASTICS TECHNOLOGY LTD","1.29","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE632W01016","540654","GSTL","GLOBALSPACE TECHNOLOGIES LIMIT","23.2","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF789F1AUW9","540669","UTINEXT50","UTI MUTUAL FUND","63.43","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE285J01028","540673","SIS","SIS LIMITED","450.1","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE296C01020","507910","FIBERWEB","FIBERWEB INDIA LTD","36.89","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE320X01016","540679","SMSLIFE","SMS LIFESCIENCES INDIA LTD","593.1","",,"0.05","1","EQUITY",,"BSE_EQ"
